reward/env_0,reward/env_1,time/total_timesteps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance
,,76000,6.018031400000012,0.1,76.4,,,,,,,,,,,
16.444155918158707,,,,,,,,,,,,,,,,
,-385.21189168723305,,,,,,,,,,,,,,,
-173.80293643903389,,,,,,,,,,,,,,,,
,-172.8597890337823,,,,,12368.1578125,0.0003,-8.443227672576905,0.9891721606254578,6286.50244140625,-0.001520573440939188,0.2,0.0037353515625,190,0.003804992,-0.00011241436004638672
,,78000,121.72589550000002,0.2,81.8,,,,,,,,,,,
-189.03227348248444,,,,,,,,,,,,,,,,
,-124.02899137430352,,,,,,,,,,,,,,,
-167.8695691421072,,,,,,,,,,,,,,,,
,-129.70127924812397,,,,,,,,,,,,,,,
,,80000,51.89160390000001,0.1,83.7,,,,,,,,,,,
83.52083761784006,,,,,,,,,,,,,,,,
,-284.27162514099757,,,,,,,,,,,,,,,
329.75725482457506,,,,,,,,,,,,,,,,
,-262.8233306543312,,,,,,,,,,,,,,,
,,82000,642.5480010000001,0.5,63.2,9912.4025390625,0.0003,-8.445971345901489,0.9879724383354187,4716.93408203125,-0.0041058823931962255,0.2,0.095068359375,200,0.012304754,-0.00012862682342529297
-217.59202583905284,,,,,,,,,,,,,,,,
,385.7636250123371,,,,,,,,,,,,,,,
-211.16324250424253,,,,,,,,,,,,,,,,
,101.52213047629502,,,,,,,,,,,,,,,
,,84000,268.9828211,0.2,64.4,,,,,,,,,,,
-145.50585266020923,,,,,,,,,,,,,,,,
,-252.5738309714855,,,,,,,,,,,,,,,
123.916917488829,,,,,,,,,,,,,,,,
,-173.56330391001404,,,,,,,,,,,,,,,
,,86000,343.3751175,0.3,71.5,,,,,,,,,,,
-330.8898871532645,,,,,,11784.255859375,0.0003,-8.437297010421753,0.9871605038642883,6447.369140625,-0.0026301501668058334,0.2,0.04130859375,210,0.006555088,-0.00010180473327636719
,-114.92657742984052,,,,,,,,,,,,,,,
-107.68582346491489,,,,,,,,,,,,,,,,
,38.55579169412752,,,,,,,,,,,,,,,
,,88000,124.1692354,0.1,70.7,,,,,,,,,,,
66.74211142842952,,,,,,,,,,,,,,,,
,-156.93775174597468,,,,,,,,,,,,,,,
-411.96612562460984,,,,,,,,,,,,,,,,
,105.56064069776009,,,,,,,,,,,,,,,
,,90000,157.8561851,0.2,69.8,,,,,,,,,,,
83.28234783998774,,,,,,16447.804296875,0.0003,-8.42752366065979,0.9844760298728943,8491.787109375,-0.0020031996828038245,0.2,0.035205078125,220,0.0071059978,-0.00011551380157470703
,-249.85755928948484,,,,,,,,,,,,,,,
-116.3777884025324,,,,,,,,,,,,,,,,
,-138.23910458702602,,,,,,,,,,,,,,,
,,92000,142.2877978,0.1,56.6,,,,,,,,,,,
-63.47520107237092,,,,,,,,,,,,,,,,
,-362.7095579864625,,,,,,,,,,,,,,,
-210.0750365725744,,,,,,,,,,,,,,,,
,-174.54552137481613,,,,,,,,,,,,,,,
-287.0132113564866,,,,,,,,,,,,,,,,
,,94000,24.576141599999996,0.0,62.0,,,,,,,,,,,
,-110.60718350745813,,,,,7087.21845703125,0.0003,-8.41105842590332,0.9825554490089417,3391.571044921875,-0.0017982596706133335,0.2,0.0047607421875,230,0.0041869897,-0.0001728534698486328
-269.31157832860396,,,,,,,,,,,,,,,,
,-276.5976843567834,,,,,,,,,,,,,,,
96.84991457553357,,,,,,,,,,,,,,,,
,,96000,-49.693943899999994,0.0,60.8,,,,,,,,,,,
,-37.64427263277736,,,,,,,,,,,,,,,
17.769963222095125,,,,,,,,,,,,,,,,
,-193.63316740319246,,,,,,,,,,,,,,,
-177.78986535690794,,,,,,,,,,,,,,,,
,,98000,101.32858560000001,0.1,65.0,,,,,,,,,,,
